FR,English,Popularity
jésus,Jesus,1577
faible,weak,1578
ryan,Ryan,1579
afin,in order to,1580
bleu,blue,1581
failli,bankrupt,1582
courir,run,1583
américain,American,1584
détails,details,1585
pont,bridge,1586
gay,gay,1587
regarde-moi,look at me,1588
jake,jake,1589
billy,billy,1590
attraper,to grab,1591
papiers,papers,1592
poisson,fish,1593
lui-même,itself,1594
wow,wow,1595
chiens,dogs,1596
date,dated,1597
intention,intention,1598
procureur,prosecutor,1599
goût,taste,1600
pourras,can,1601
shérif,sheriff,1602
sais-tu,do you know,1603
arrêt,stop,1604
sourire,to smile,1605
lait,milk,1606
chasse,hunt,1607
signal,signal,1608
parlait,spoke,1609
destin,destiny,1610
marre,tired,1611
français,French,1612
princesse,Princess,1613
paie,pay,1614
foi,faith,1615
chier,take a dump,1616
dois-je,should I,1617
présence,presence,1618
doigts,fingers,1619
partenaire,partner,1620
quelles,what,1621
daniel,Daniel,1622
préféré,prefer,1623
adieu,farewell,1624
costume,suit,1625
entreprise,business,1626
utile,useful,1627
calme-toi,calm down,1628
lien,link,1629
unique,unique,1630
appartient,belong,1631
attendant,waiting,1632
amené,bring,1633
moindre,lower,1634
quels,what,1635
amener,to bring,1636
amène,bring,1637
enfoiré,Motherfucker,1638
recherches,research,1639
discours,speech,1640
données,data,1641
robert,robert,1642
art,art,1643
appelles,call,1644
salaud,bastard,1645
penses-tu,do you think,1646
magie,magic,1647
bouteille,bottle,1648
justement,exactly,1649
raconter,to tell about,1650
rapidement,quickly,1651
bref,brief,1652
tribunal,court,1653
viendra,will come,1654
passée,past,1655
superbe,superb,1656
pourrai,can,1657
pièces,rooms,1658
certaine,certain,1659
obligé,obligatory,1660
formidable,wonderful,1661
pause,pause,1662
identité,identity,1663
campagne,countryside,1664
lee,lee,1665
auraient,would have,1666
couper,to cut,1667
mark,mark,1668
morceau,piece,1669
os,bone,1670
lettres,letters,1671
nombre,number,1672
intelligent,clever,1673
gâteau,cake,1674
dépend,depends,1675
job,job,1676
jeux,games,1677
compter,to count,1678
cou,neck,1679
of,of,1680
reprendre,to resume,1681
joie,joy,1682
agents,agent,1683
gardes,guards,1684
star,star,1685
regard,look,1686
demandez,ask for,1687
balles,bullets,1688
vendu,sold,1689
majesté,majesty,1690
menace,threatens,1691
malgré,despite,1692
appareil,device,1693
demandais,requested,1694
là-haut,upward,1695
privé,private,1696
adam,Adam,1697
forces,strengths,1698
fonctionne,operate,1699
méchant,bad,1700
jambe,leg,1701
empreintes,fingerprints,1702
ange,angel,1703
agir,to act,1704
noire,black,1705
imbécile,imbecile,1706
gentille,kind,1707
labo,lab,1708
résultats,results,1709
toi-même,yourself,1710
cinéma,movie theater,1711
nouvel,new,1712
malheureusement,Unfortunately,1713
décider,decide,1714
né,not,1715
importante,important,1716
voulons,want to,1717
détruit,destroy,1718
parfaitement,perfectly,1719
martin,martin,1720
produit,product,1721
réparer,to fix,1722
chapeau,hat,1723
gérer,to manage,1724
écoute-moi,listen to me,1725
adn,DNA,1726
échange,exchange,1727
mince,slim,1728
bougez,move,1729
parfaite,perfect,1730
meurt,murder,1731
fout,fussy,1732
vitesse,speed,1733
fermé,firm,1734
succès,success,1735
au-dessus,above,1736
etre,be,1737
souvenirs,memories,1738
comprend,understand,1739
odeur,smell,1740
pain,bread,1741
falloir,to need,1742
aise,easy,1743
caché,hidden,1744
règle,rule,1745
imaginer,to imagine,1746
raconte,recount,1747
vus,viewed,1748
accepté,accepted,1749
trouvée,found,1750
dors,doors,1751
celui-ci,this one,1752
ministre,Minister,1753
infos,info,1754
vendredi,Friday,1755
voitures,cars,1756
lever,raise,1757
arbre,tree,1758
maire,mayor,1759
faveur,favor,1760
pourraient,might,1761
prendra,will take,1762
surpris,surprised,1763
jeté,thrown,1764
également,also,1765
fac,school,1766
apporter,to bring,1767
washington,Washington,1768
champ,field,1769
peut-on,Can we,1770
comptes,accounts,1771
échapper,escape,1772
valeur,value,1773
in,in,1774
réel,real,1775
couverture,blanket,1776
million,million,1777
article,article,1778
doux,soft,1779
parc,Park,1780
toit,roof,1781
unité,unity,1782
resté,just stay,1783
plage,Beach,1784
partager,to share,1785
malin,smart,1786
recevoir,to receive,1787
inquiétez,worry,1788
attendu,expected,1789
charles,charles,1790
coffre,chest,1791
uh,uh,1792
eddie,Eddie,1793
chris,chris,1794
celle-là,that one,1795
ramène,brings back,1796
mode,fashion,1797
folie,madness,1798
extérieur,outside,1799
van,van,1800
membre,member,1801
prévenir,to inform,1802
cache,hidden,1803
inquiéter,worry,1804
hasard,hazard,1805
concerne,concerning,1806
réponds,answer,1807
génie,genius,1808
j,j,1809
parlais,were talking,1810
parlons,let's talk,1811
jardin,garden,1812
saison,season,1813
montré,show,1814
frappe,hit,1815
enchanté,Nice To Meet You,1816
gosses,gosses,1817
abandonner,to give up,1818
assure,ensures,1819
apporte,brow,1820
prépare,prepare,1821
mètres,meters,1822
suivant,following,1823
souhaite,wish,1824
services,services,1825
ouest,Where is,1826
va-t',VA-T ',1827
poids,weight,1828
poche,poached,1829
faisant,making,1830
répondu,answered,1831
directement,directly,1832
source,source,1833
france,France,1834
créer,to create,1835
samedi,Saturday,1836
aidez-moi,help me,1837
univers,universe,1838
saura,will know,1839
réalisé,realized,1840
américains,Americans,1841
perds,perds,1842
membres,members,1843
viande,meat,1844
o',O ',1845
bobby,bobby,1846
sont-ils,are they,1847
crois-moi,believe me,1848
amoureuse,love,1849
grandes,great,1850
changement,change,1851
compliqué,complicated,1852
bal,ball,1853
page,page,1854
conduit,conduit,1855
passage,passage,1856
piège,trap,1857
kevin,kevin,1858
ressens,feelings,1859
accepte,accepted,1860
grace,Grace,1861
fais-le,do it,1862
amusant,amusing,1863
dan,dan,1864
donnez,give,1865
traces,traces,1866
trésor,treasure,1867
explique,Explain,1868
fesses,buttocks,1869
perte,loss,1870
fantôme,Phantom,1871
naissance,birth,1872
retraite,retirement,1873
regardes,looked,1874
franchement,frankly,1875
côtés,sides,1876
larry,larry,1877
étranger,foreigner,1878
poulet,chicken,1879
vienne,vienne,1880
débarrasser,get rid of,1881
enlève,remove,1882
marque,Mark,1883
mens,mens,1884
fantastique,fantastic,1885
cent,hundred,1886
beaux,good,1887
entendez,hear,1888
ouverte,opened,1889
bâtiment,building,1890
a-t-elle,has she,1891
devrions,should,1892
embrasser,to kiss,1893
tombée,fell,1894
manquer,to lack,1895
entré,Between,1896
san,sanity,1897
chevaux,horses,1898
habite,reside,1899
animal,animal,1900
fatigué,tiredness,1901
heureusement,Fortunately,1902
billets,tickets,1903
convaincre,to convince,1904
appelait,called,1905
rachel,rachel,1906
paradis,paradise,1907
émission,episode,1908
lance,spear,1909
nettoyer,to clean,1910
file,line,1911
dimanche,Sunday,1912
agréable,pleasant,1913
plans,plans,1914
conscience,consciousness,1915
ennemis,enemies,1916
disant,saying,1917
connaissance,awareness,1918
douce,gentle,1919
belles,nice,1920
sentiment,feeling,1921
bataille,battle,1922
perd,lout,1923
pourrez,can,1924
relations,relations,1925
espérais,hoped,1926
fais-moi,Make me,1927
vôtre,your,1928
servi,served,1929
souci,worry,1930
note,note,1931
doigt,finger,1932
mensonge,lying,1933
volonté,will,1934
walter,Walter,1935
victoire,Victoire,1936
direct,direct,1937
abandonné,abandoned,1938
information,information,1939
joindre,join,1940
proches,relatives,1941
brian,brian,1942
droits,rights,1943
eric,eric,1944
nerveux,nervous,1945
coupé,cut,1946
patients,patients,1947
invités,guests,1948
arrivés,arrivals,1949
descends,descend,1950
pleure,cry,1951
traitement,processing,1952
jerry,jerry,1953
senti,felt,1954
cancer,Cancer,1955
répète,say again,1956
reposer,rest,1957
regrette,regret,1958
aide-moi,help me,1959
flingue,fling,1960
cousin,cousin,1961
désormais,from now on,1962
vérifié,checked,1963
crains,fear,1964
douche,shower,1965
gaz,gas,1966
interdit,prohibited,1967
théorie,theory,1968
scott,scott,1969
trace,trace,1970
contrôler,control,1971
signer,sign,1972
no,no,1973
demandes,requests,1974
internet,Internet,1975
andy,andy,1976
cherchez,search,1977
salon,salon,1978
pete,pete,1979
serons,be,1980
appels,calls,1981
lancer,to throw,1982
protection,protection,1983
pantalon,pants,1984
rappelles,remembers,1985
dossiers,folders,1986
style,style,1987
ravie,gladness,1988
semblant,pretense,1989
yeah,yeah,1990
kim,kim,1991
offert,Free,1992
vieil,old,1993
humaine,humane,1994
grandi,grown up,1995
médicaments,medications,1996
acte,act,1997
moyens,means,1998
lois,laws,1999
kate,kate,2000
meurs,die,2001
laisserai,gone,2002
aéroport,airport,2003
mauvaises,bad,2004
détective,detective,2005
autrement,otherwise,2006
témoins,witness,2007
queue,tail,2008
coincé,stuck up,2009
mariés,brides,2010
sonne,ring,2011
innocent,innocent,2012
dira,say,2013
créé,created,2014
jason,jason,2015
supporter,support,2016
milliers,thousands,2017
heu,uh,2018
infirmière,nurse,2019
métier,job,2020
crétin,dumbass,2021
retirer,remove,2022
surveillance,surveillance,2023
chances,chances,2024
oreilles,ears,2025
trouvera,will find,2026
suicide,suicide,2027
militaire,military,2028
atteindre,to reach,2029
fuir,to run away,2030
casse,broken,2031
dormi,dormish,2032
pilote,pilot,2033
rires,laughter,2034
appelée,named,2035
risques,risks,2036
leçon,lesson,2037
paquet,package,2038
man,man,2039
défendre,defend,2040
immeuble,building,2041
récemment,recently,2042
chinois,Chinese,2043
battu,beaten,2044
aveugle,blind,2045
oiseau,bird,2046
qu,that,2047
propriétaire,owner,2048
ancienne,Ancient,2049
veste,jacket,2050
anna,anna,2051
simon,Simon,2052
saviez,knew,2053
amies,girlfriend,2054
cherché,look for,2055
tirez,pull,2056
al,al,2057
différents,different,2058
gardez,keep,2059
feras,ferry,2060
lisa,lisa,2061
lis,Lily,2062
station,station,2063
mandat,mandate,2064
assassin,assassin,2065
thomas,Thomas,2066
célèbre,famous,2067
dort,sleeping,2068
bague,Ring,2069
dépêche-toi,hurry up,2070
tente,attempted,2071
devenue,become,2072
ventre,stomach,2073
carter,crankcase,2074
respire,breathe,2075
haute,high,2076
connaissais,knew,2077
genoux,knees,2078
terme,term,2079
vert,green,2080
emily,Emily,2081
refusé,refuse,2082
hâte,haste,2083
réveiller,wake,2084
commande,ordered,2085
commun,common,2086
souris,mouse,2087
partons,let's go,2088
perdue,lost,2089
dirige,directed,2090
verras,verras,2091
charmant,charming,2092
chante,sung,2093
sport,sport,2094
celle-ci,this one,2095
viré,fired,2096
ies,IES,2097
fiston,son,2098
étoiles,stars,2099
laisses,leave,2100
parlant,speaking,2101
là-dessus,on that,2102
signé,sign,2103
virer,fire,2104
permettre,to permit,2105
pouvoirs,powers,2106
luke,luke,2107
pluie,rain,2108
passez,pass,2109
vrais,true,2110
enlevé,removed,2111
moments,moments,2112
blesser,to injure,2113
ombre,shadow,2114
rome,Rome,2115
épisode,episode,2116
talent,talent,2117
chocolat,chocolate,2118
assurance,assurance,2119
angleterre,England,2120
couche,lying down,2121
site,site,2122
neige,snow,2123
gardé,keep,2124
chemise,shirt,2125
ted,tab,2126
voulaient,wanted,2127
emploi,use,2128
précédemment,previously,2129
surveiller,to watch,2130
privée,private,2131
entière,entirety,2132
saint,Holy,2133
parlent,talk,2134
réfléchi,reflexive,2135
my,my,2136
attendent,wait,2137
jette,throw,2138
facilement,easily,2139
joues,play,2140
jury,jury,2141
passera,will pass,2142
voleur,thief,2143
véritable,true,2144
entend,hears,2145
chaise,chair,2146
accusé,accused,2147
zéro,zero,2148
clairement,clearly,2149
mouvement,movement,2150
celles,those,2151
sommeil,sleep,2152
blancs,whites,2153
survivre,to survive,2154
semblait,seemed,2155
o,o,2156
craint,fear,2157
traduction,translation,2158
notes,notes,2159
repos,rest,2160
siège,seat,2161
policier,policeman,2162
allés,alley,2163
puissance,power,2164
familles,families,2165
second,second,2166
cellule,cell,2167
engagé,committed,2168
adorable,adorable,2169
matt,matt,2170
spéciale,special,2171
violence,violence,2172
ours,bear,2173
gorge,throat,2174
examen,exam,2175
dieux,gods,2176
major,major,2177
obtenu,got,2178
évident,obvious,2179
distance,distance,2180
titre,title,2181
lundi,Monday,2182
choc,shock,2183
différentes,different,2184
théâtre,theater,2185
exploser,explode,2186
â,at,2187
rivière,river,2188
paye,paid,2189
allo,Hello,2190
revenez,come back,2191
écoutes,listening,2192
logique,logic,2193
alice,alice,2194
miracle,miracle,2195
lève,survey,2196
montagne,Mountain,2197
essayais,tried,2198
pauvres,poor,2199
tenu,tenuous,2200
chicago,Chicago,2201
auprès,with,2202
lèvres,lips,2203
plat,flat,2204
lunettes,eyeglasses,2205
journaux,newspapers,2206
attaquer,attack,2207
mine,mine,2208
pistolet,gun,2209
divorce,divorced,2210
noirs,black,2211
meurtres,murder,2212
premiers,first,2213
forêt,Forest,2214
respirer,to breathe,2215
fortune,fortune,2216
réponses,responses,2217
devraient,should,2218
explosion,explosion,2219
reviendra,will come back,2220
mène,lead,2221
doc,doc,2222
maria,maria,2223
responsabilité,responsibility,2224
annie,annie,2225
erreurs,errors,2226
principal,main,2227
épée,sword,2228
tienne,hold,2229
travaillait,was working,2230
tableau,picture,2231
cabinet,cabinet,2232
normale,normal,2233
alerte,alert,2234
meurtrier,murderer,2235
whoa,Whoa,2236
libérer,to free,2237
commis,clerk,2238
sérieuse,serious,2239
carl,carl,2240
sous-titrage,subtitles,2241
rock,rock,2242
vision,vision,2243
réveillé,wake up,2244
auront,will have,2245
mesure,measure,2246
arthur,arthur,2247
kyle,kyle,2248
ed,ed,2249
louis,louis,2250
1er,1st,2251
secrétaire,Secretary,2252
dave,dave,2253
images,images,2254
fuite,leak,2255
amitié,friendship,2256
annonce,announcement,2257
pousser,to push,2258
william,William,2259
idiote,idiot,2260
nombreux,numerous,2261
brisé,broken,2262
raconté,recount,2263
cardiaque,cardiac,2264
minuit,midnight,2265
humeur,mood,2266
physique,physical,2267
prof,teacher,2268
lieux,places,2269
los,the bone,2270
seins,tits,2271
crier,yell,2272
top,top,2273
go,go,2274
permission,permission,2275
romantique,romantic,2276
lac,Lake,2277
vente,sale,2278
vache,cow,2279
suit,follows,2280
clark,clark,2281
courses,racing,2282
casser,to break,2283
études,studies,2284
modèle,model,2285
susan,Susan,2286
version,version,2287
jeff,jeff,2288
pensées,thoughts,2289
prudent,careful,2290
plaisante,pleasant,2291
emmené,brought,2292
réfléchis,reflective,2293
concert,concert,2294
blessure,injury,2295
tir,shoot,2296
chauffeur,driver,2297
midi,midday,2298
souvenez,remember,2299
puissant,powerful,2300
moteur,motor,2301
répond,respond,2302
hmm,hmm,2303
city,city,2304
coûte,cost,2305
reculez,steer,2306
dessous,underneath,2307
souffle,breath,2308
construire,to construct,2309
démon,Devil,2310
achète,bought,2311
smith,smith,2312
caméras,camera,2313
pousse,pump,2314
cesse,cease,2315
gare,station,2316
rentrée,return,2317
finit,finish,2318
bosse,bump,2319
kelly,kelly,2320
fer,iron,2321
couilles,balls,2322
quiconque,anyone who,2323
vole,Fly,2324
ignorais,ignored,2325
soutien,support,2326
usine,plant,2327
château,Chateau,2328
lâche-moi,Let go of me,2329
ont-ils,have they,2330
garage,garage,2331
délicieux,delicious,2332
oreille,hear,2333
virus,virus,2334
réellement,Actually,2335
posé,posed,2336
avancer,moving forward,2337
maisons,houses,2338
voisins,neighbors,2339
dites-lui,Tell him,2340
deviens,become,2341
sage,wise,2342
crédit,credit,2343
ambulance,ambulance,2344
gamins,kids,2345
fière,proud,2346
tourné,turned,2347
puce,chip,2348
finie,finished,2349
canon,cannon,2350
liquide,liquid,2351
devine,guess,2352
particulier,particular,2353
prennent,takes,2354
traverser,to cross,2355
rues,rues,2356
park,park,2357
criminel,criminal,2358
cependant,However,2359
sombre,dark,2360
agence,agency,2361
comportement,behviour,2362
artiste,artist,2363
bosser,work,2364
gouverneur,governor,2365
paroles,words,2366
résoudre,to resolve,2367
chut,hush,2368
période,period,2369
bat,bat,2370
seraient,would be,2371
bébés,babies,2372
cherches,searches,2373
e,e,2374
croyez-moi,believe me,2375
donnes,data,2376
préparé,prepare,2377
soucis,worry,2378
traiter,to treat,2379
street,street,2380
différente,different,2381
reconnais,recognize,2382
bye,bye,2383
pourriez-vous,Could you,2384
fromage,cheese,2385
essence,essence,2386
ayant,having,2387
côte,rating,2388
tenté,attempted,2389
chaleur,heat,2390
tests,testing,2391
champagne,Champagne,2392
objet,object,2393
ouai,yeah,2394
disparaître,vanish,2395
oiseaux,birds,2396
re,D,2397
europe,Europe,2398
supposé,Assumed,2399
supplie,beg,2400
tournée,tour,2401
résultat,results,2402
roger,roger,2403
concernant,regarding,2404
vérifie,checked,2405
souffrir,to suffer,2406
occupée,busy,2407
fusil,musket,2408
gardien,Guardian,2409
déranger,to bother,2410
verrai,verrai,2411
fatiguée,tired,2412
vote,vote,2413
dégagez,clear,2414
anciens,old,2415
voila,there it is,2416
tués,you are beautiful,2417
forcément,necessarily,2418
cadeaux,gifts,2419
herbe,grass,2420
b,b,2421
menteur,liar,2422
vivante,lifetime,2423
riches,rich,2424
vive,lively,2425
sacrée,sacred,2426
taylor,taylor,2427
adulte,adult,2428
siècle,century,2429
attente,waiting,2430
endroits,places,2431
écris,written,2432
rapports,reports,2433
piscine,pool,2434
rentrez,come back,2435
lendemain,the following day,2436
fumer,to smoke,2437
concours,competition,2438
ment,is lying,2439
monté,mounted,2440
passait,passed,2441
vous-même,yourself,2442
inviter,invite,2443
coach,coach,2444
fausse,fake,2445
élevé,raised,2446
chair,flesh,2447
magique,magical,2448
chaîne,chain,2449
chèque,check,2450
réseau,network,2451
enfance,childhood,2452
mensonges,lies,2453
pourrions,might,2454
choisis,choose,2455
taire,to hush up,2456
inquiet,worry,2457
enfuir,escape,2458
bel,good,2459
profiter,enjoy,2460
science,science,2461
revenue,returning,2462
billet,ticket,2463
crâne,skull,2464
jaloux,jealous,2465
tien,tie,2466
arrestation,arrest,2467
laver,wash,2468
nuits,nights,2469
caisse,box,2470
scientifique,scientist,2471
russe,Russian,2472
cris,screaming,2473
traité,treaty,2474
attaqué,attack,2475
écoutez-moi,listen to me,2476
montez,climb,2477
sean,sean,2478
promesse,promise,2479
sénateur,senator,2480
blessures,wound,2481
sucre,sugar,2482
murs,mud,2483
attrape,catch,2484
représente,represented,2485
emma,Emma,2486
esprits,spirits,2487
cloche,Bell,2488
phil,phil,2489
cia,cia,2490
réputation,reputation,2491
étudier,to study,2492
trompe,deceived,2493
chute,fall,2494
jackson,jackson,2495
demi,half,2496
devra,will have to,2497
plainte,complaint,2498
grand-chose,great,2499
tim,TIM,2500
joey,joey,2501
sorcière,witch,2502
venant,from,2503
alan,alan,2504
californie,California,2505
tenue,outfit,2506
journaliste,journalist,2507
soyons,Let's be,2508
chouette,owl,2509
karen,Karen,2510
aurons,will have,2511
avocats,lawyers,2512
cherchais,searched,2513
angeles,Angeles,2514
surveille,oversee,2515
département,department,2516
abandonne,abandoned,2517
prendrai,will take,2518
peinture,paint,2519
refaire,remake,2520
honnêtement,honestly,2521
opinion,opinion,2522
geste,gesture,2523
étais-tu,were you,2524
gaffe,blunder,2525
empire,empire,2526
aient,have,2527
pizza,pizza,2528
seriez,would be,2529
fan,fan,2530
poitrine,chest,2531
y',Y ',2532
jenny,jenny,2533
lorsqu',when,2534
médecins,doctors,2535
remonte,traced back,2536
aventure,adventure,2537
réglé,rule,2538
mac,mac,2539
abby,abby,2540
barre,Rod,2541
foyer,foyer,2542
jean,Jeans,2543
amuse,amused,2544
mener,lead,2545
uniforme,uniform,2546
cauchemar,nightmare,2547
soupe,Soupe,2548
intelligente,smart,2549
jus,juice,2550
prêtre,priest,2551
lily,lily,2552
trompé,deceived,2553
chuck,chuck,2554
corde,rope,2555
champion,champion,2556
somme,sum,2557
conférence,conference,2558
commissaire,commissioner,2559
répondez,answer,2560
attrapé,caught,2561
red,red,2562
racontes,telling,2563
deviner,to guess,2564
recommencer,restart,2565
dis-tu,you say,2566
complet,full,2567
crimes,crimes,2568
maggie,maggie,2569
crème,cream,2570
construit,built,2571
excusez,excuse,2572
entraînement,coaching,2573
centaines,hundreds,2574
calmer,calm,2575
joueur,player,2576
couloir,corridor,2577
horreur,horror,2578
propriété,property,2579
admettre,admit,2580
matériel,equipment,2581
verrez,see,2582
foule,crowd,2583
st,st,2584
réaction,reaction,2585
ennuie,bored,2586
laura,laura,2587
pub,pub,2588
hiver,winter,2589
manteau,coat,2590
pis,worse,2591
débile,stupid,2592
trouverai,find,2593
conseiller,to advise,2594
humanité,humanity,2595
studio,studio,2596
josh,Josh,2597
lapin,rabbit,2598
désert,desert,2599
combattre,combat,2600
big,big,2601
julie,Julie,2602
boutique,shop,2603
fonds,funds,2604
voient,see,2605
états-unis,United States,2606
reviendrai,will come back,2607
ramené,brings back,2608
discussion,discussion,2609
connaissait,knew,2610
vegas,vegas,2611
sir,sir,2612
fiancée,fiancee,2613
remonter,go back up,2614
incendie,fire,2615
arbres,trees,2616
conseils,advice,2617
géniale,genial,2618
messages,messages,2619
ex,ex,2620
surface,area,2621
appellent,call,2622
atteint,hit,2623
recommence,start again,2624
curieux,curious,2625
lucy,lucy,2626
ascenseur,elevator,2627
mars,March,2628
apprend,learn,2629
abri,shelter,2630
larmes,tears,2631
dites-vous,Tell yourself,2632
impliqué,implied,2633
répéter,repeat,2634
pardonner,to forgive,2635
donnerai,give,2636
soi,self,2637
marine,Marine,2638
cadavre,corpse,2639
o.k.,OK.,2640
front,forehead,2641
uniquement,uniquely,2642
traîner,drag,2643
rare,rare,2644
permet,allow,2645
stan,stan,2646
parking,car park,2647
morceaux,parts,2648
réussir,to succeed,2649
morgan,Morgan,2650
empêche,stop,2651
traversé,crossed,2652
américaine,american,2653
hank,hank,2654
décide,decided,2655
doué,gifted,2656
gloire,glory,2657
gang,gang,2658
communauté,community,2659
plaisantes,pleasant,2660
déclaration,declaration,2661
jones,Jones,2662
portait,wearing,2663
croient,believe,2664
projets,projects,2665
frontière,frontier,2666
saute,jumped up,2667
hais,hate,2668
laissée,left behind,2669
suivez-moi,follow me,2670
prénom,first name,2671
tenter,to attempt,2672
liaison,connection,2673
cérémonie,ceremony,2674
fasses,fussy,2675
vivent,live,2676
ho,ho,2677
océan,ocean,2678
vélo,bike,2679
aimerait,would like,2680
réaliser,to achieve,2681
poupée,doll,2682
navire,ship,2683
saches,sketchy,2684
parties,parts,2685
patrick,patrick,2686
remplacer,to replace,2687
prisonnier,prisoner,2688
ménage,housework,2689
porté,carries,2690
employés,employees,2691
dépêchez-vous,hurry up,2692
bouton,button,2693
acteur,actor,2694
show,show,2695
julia,Julia,2696
mardi,Tuesday,2697
juré,sworn,2698
barry,barry,2699
médecine,medicine,2700
restera,will stay,2701
lourd,heavy,2702
chargé,charge,2703
au-delà,beyond,2704
survécu,survived,2705
bite,cock,2706
soudain,suddenly,2707
voyais,seizure,2708
travailles,work,2709
prévenu,defendant,2710
regardez-moi,look at me,2711
baisse,decrease,2712
filer,spin,2713
rompu,broken,2714
véhicule,vehicle,2715
sauve,Safe,2716
rencontrés,met,2717
emmerde,fetch,2718
estomac,stomach,2719
donna,given,2720
couvrir,cover,2721
meilleures,best,2722
rater,to fail,2723
terminée,finished,2724
fred,fred,2725
tâche,task,2726
réserve,Reserve,2727
brûler,to burn,2728
chou,cabbage,2729
réveille,wake up,2730
sentez,smell,2731
ferme-la,shut up,2732
réveille-toi,wake up,2733
etait,was,2734
origine,origin,2735
rêvé,dream,2736
gary,gary,2737
pouviez,might,2738
poursuivre,to chase,2739
actions,actions,2740
tapis,carpet,2741
absence,absence,2742
lâcher,let go,2743
tempête,storm,2744
um,um,2745
souffre,suffer,2746
touchez,touch,2747
cents,cents,2748
rempli,completed,2749
écran,screen,2750
dis-le,say it,2751
victor,victor,2752
affreux,awful,2753
enterrement,interment,2754
inconnu,unknown,2755
venger,revenge,2756
team,team,2757
feriez,make,2758
sara,SARA,2759
inventé,invented,2760
installer,to install,2761
ya,Ya,2762
va-t-il,will he,2763
rythme,rhythm,2764
étudiants,students,2765
pratique,practice,2766
whisky,whiskey,2767
calmez-vous,calm down,2768
travaillez,work,2769
ballon,ball,2770
équipage,crew,2771
signes,signs,2772
élèves,students,2773
faites-le,do it,2774
parlera,talk to,2775
attirer,to attract,2776
récompense,reward,2777
reconnu,recognized,2778
irait,would go,2779
loup,Wolf,2780
traite,treaty,2781
lâchez-moi,Let me go,2782
ca.,that.,2783
vengeance,revenge,2784
imaginez,imagine,2785
navré,sorry,2786
feront,make,2787
finis,finish,2788
propose,propose,2789
forcé,strength,2790
lutte,struggle,2791
opportunité,opportunity,2792
personnage,character,2793
2e,2nd,2794
boss,boss,2795
arrêtes,stop,2796
convaincu,convinced,2797
allons-nous,are we going,2798
accompagner,accompany,2799
essayons,Let's try,2800
limite,limit,2801
panique,panic,2802
technologie,technology,2803
brillant,shiny,2804
king,king,2805
afrique,Africa,2806
nourrir,to feed,2807
région,region,2808
nathan,nathan,2809
passent,pass,2810
salaire,salary,2811
veille,day before,2812
appelle-moi,call me,2813
ceinture,belt,2814
explication,explanation,2815
chansons,songs,2816
profond,deep,2817
professionnel,professional,2818
possède,possesses,2819
étonnant,amazing,2820
venais,came,2821
casier,locker,2822
jouez,play,2823
roman,novel,2824
sandwich,sandwich,2825
arrives,arrivals,2826
nana,nana,2827
nommé,appointed,2828
incident,incident,2829
retournez,overcome,2830
sophie,Sophie,2831
potes,pots,2832
comité,committee,2833
chine,China,2834
technique,technical,2835
haine,hatred,2836
identifier,identify,2837
célibataire,single,2838
jackie,Jackie,2839
annoncer,announce,2840
portée,scope,2841
fleur,flower,2842
roule,rolled,2843
palais,palace,2844
tromper,to trick,2845
lady,lady,2846
attendait,waited,2847
jeudi,Thursday,2848
abruti,fool,2849
disiez,say,2850
normalement,normally,2851
circonstances,circumstances,2852
appelez-moi,call me,2853
canapé,couch,2854
sommes-nous,are we,2855
protège,protected,2856
est-à-dire,is it,2857
affronter,confront,2858
connait,know,2859
élève,raised,2860
pêche,peach,2861
masque,mask,2862
couvert,covered,2863
extraordinaire,extraordinary,2864
malheur,misfortune,2865
sentais,Smelt,2866
royaume,kingdom,2867
porc,pork,2868
envoyez,send off,2869
brûle,burn,2870
entretien,maintenance,2871
vingt,twenty,2872
objets,objects,2873
gêne,uncomfortable,2874
bloc,block,2875
aidera,help,2876
final,final,2877
conduis,conducted,2878
excellente,excellent,2879
brûlé,burnt,2880
amanda,amanda,2881
business,business,2882
sauté,jumped up,2883
trouvent,find,2884
ferez,make,2885
alarme,alarm,2886
laisse-le,leave him,2887
rencard,date,2888
concentrer,focus,2889
étoile,star,2890
engager,to hire,2891
singe,monkey,2892
colle,glue,2893
ooh,ooh,2894
assistant,assistant,2895
fallu,fell,2896
mm,mm,2897
central,central,2898
prisonniers,prisoners,2899
naturel,natural,2900
essayait,was trying,2901
pardonnez-moi,excuse me,2902
étape,stage,2903
cage,cage,2904
davantage,any further,2905
alliance,alliance,2906
collègues,colleagues,2907
collier,necklace,2908
rayon,Ray,2909
correct,correct,2910
jesse,jesse,2911
gâcher,spoil,2912
quant,as to,2913
assassiné,assassinated,2914
placard,cupboard,2915
soif,thirst,2916
conditions,terms,2917
min,min,2918
remis,returned,2919
russes,rushes,2920
miel,honey,2921
personnellement,personally,2922
entièrement,entirely,2923
howard,Howard,2924
impressionnant,impressive,2925
passes,passes,2926
créature,creature,2927
black,black,2928
lancé,spear,2929
kilomètres,kilometers,2930
sers,seers,2931
échappé,escape,2932
parte,parte,2933
prouve,prove,2934
associé,associate,2935
monnaie,change,2936
dean,dean,2937
moque,mock,2938
voisin,next to,2939
clinique,clinical,2940
tape,tap,2941
têtes,heads,2942
lentement,slowly,2943
classique,classic,2944
temple,temple,2945
steven,Steven,2946
produits,products,2947
passion,passion,2948
prenne,take,2949
échoué,failed,2950
écouté,listen,2951
existence,existence,2952
