ES,English,Popularity
caballero,gentleman,1541
pasada,pass,1542
código,code,1543
hagamos,let's do,1544
imagen,image,1545
riesgo,risk,1546
llegamos,we arrived,1547
alguno,any,1548
pan,bread,1549
millón,million,1550
malas,bad,1551
dama,Lady,1552
hielo,ice,1553
coño,cone,1554
cayó,it fell,1555
prensa,press,1556
querer,want,1557
vengan,come,1558
eddie,Eddie.,1559
caminar,walk,1560
televisión,television,1561
pasará,it will happen,1562
momentos,moments.,1563
coger,take,1564
posibilidad,possibility,1565
hubiese,Hadie,1566
mark,Mark,1567
asiento,seat,1568
tuviste,You saw,1569
herido,injured,1570
maría,Maria,1571
seguramente,surely,1572
proyecto,draft,1573
pared,Wall,1574
sentí,I felt,1575
sospechoso,suspicious,1576
naturaleza,nature,1577
ésa,this,1578
silla,chair,1579
perdió,lost,1580
robert,Robert.,1581
policías,police,1582
arreglar,fix,1583
sentado,sitting,1584
papi,Daddy,1585
ideas,Ideas,1586
obtener,get,1587
felices,happily,1588
señoría,lordship,1589
cantidad,amount,1590
bebe,baby,1591
mírame,Look at me,1592
chris,Chris.,1593
papa,dad,1594
llorar,cry,1595
quedó,It was left,1596
familiar,family,1597
desastre,disaster,1598
locos,crazy,1599
escuche,I listened,1600
quedarte,stay,1601
política,politics,1602
pedí,I ordered,1603
sois,you are,1604
nosotras,we,1605
will,WILL.,1606
enfermedad,disease,1607
encontraron,They found,1608
colega,colleague,1609
príncipe,the prince,1610
verde,green,1611
bajar,go down,1612
nervioso,highly strung,1613
vengo,I come,1614
inspector,inspector,1615
sirve,it serves,1616
puertas,doors,1617
fuerzas,forces,1618
playa,Beach,1619
cantar,to sing,1620
déjeme,Leave me.,1621
velocidad,speed,1622
total,total,1623
cabello,hair,1624
suficientemente,enough,1625
huellas,footprints,1626
haberte,Habering you,1627
debí,owned,1628
unidad,Unit,1629
estan,are,1630
cuchillo,knife,1631
t,T.,1632
oigan,Oigan,1633
quienes,Who,1634
gana,Win,1635
tonterías,silly stuff,1636
emergencia,emergency,1637
perfecta,perfect,1638
hable,I talked,1639
gustaba,I liked,1640
lugares,places,1641
ryan,Ryan.,1642
show,Show,1643
robo,Stole,1644
permite,It allows,1645
parque,Park,1646
uds.,You.,1647
roto,broken,1648
serie,Serie,1649
puse,puseum,1650
nuevas,New ones,1651
evidencia,evidence,1652
conocerte,meet,1653
estúpida,stupid,1654
preocupe,worry,1655
perdone,Sorry,1656
botella,bottle,1657
viento,wind,1658
mando,command,1659
extraña,strange,1660
historias,stories,1661
aquella,that,1662
tenéis,you have,1663
solos,Solos,1664
apoyo,support,1665
bala,bullet,1666
verdadera,true,1667
tiro,threw,1668
época,epoch,1669
puente,bridge,1670
olvídalo,forget it,1671
distancia,distance,1672
desea,desired,1673
dejarlo,Leave it,1674
pelear,fight,1675
pierna,leg,1676
echar,throw,1677
descanso,break,1678
américa,America,1679
área,area,1680
orgulloso,proud,1681
datos,data,1682
espectáculo,show,1683
sube,goes up,1684
dejaste,You left,1685
acabas,End.,1686
verá,See.,1687
magia,Magic,1688
nacional,national,1689
universo,universe,1690
llevaba,Wearing,1691
necesitar,need,1692
nariz,nose,1693
aquellos,those,1694
clases,lessons,1695
jake,Jake,1696
casas,houses,1697
vergüenza,shame,1698
estarán,They will be,1699
monstruo,monster,1700
princesa,Princess,1701
autobús,bus,1702
cuidar,look after,1703
ei,Ei,1704
huevos,eggs,1705
pocos,few,1706
podrás,you can,1707
enferma,ill,1708
paseo,ride,1709
detalles,details,1710
llamadas,calls,1711
belleza,beauty,1712
francia,France,1713
abierto,opened,1714
viviendo,living,1715
envió,Shipping,1716
puntos,points,1717
ministro,Minister,1718
conducir,drive,1719
aceptar,agree,1720
borracho,drunk,1721
animal,animal,1722
caballos,horses,1723
trajo,brought,1724
contrato,contract,1725
viernes,Friday,1726
bobby,Bobby.,1727
martin,Martin,1728
amy,Amy.,1729
bienvenidos,Welcome,1730
ex,former,1731
hechos,acts,1732
sociedad,society,1733
dra.,Dr.,1734
tengan,Have,1735
quede,remains,1736
inglaterra,England,1737
carga,load,1738
diste,you gave,1739
puto,fucking,1740
lleve,I carried,1741
presente,Present,1742
conocía,I knew,1743
uso,use,1744
dedos,fingers,1745
oferta,offer,1746
sentía,I felt,1747
proteger,to protect,1748
daniel,Daniel.,1749
date,Date,1750
hiciera,do,1751
hablé,I talked,1752
recibir,to receive,1753
agradezco,I appreciate,1754
robar,Steal,1755
enamorado,loved,1756
sepas,Separa.,1757
oeste,West,1758
herida,wound,1759
despacio,slowly,1760
ayude,help,1761
supe,SUPE.,1762
directamente,directly,1763
inmediato,righ now,1764
profesional,professional,1765
oscuro,Dark,1766
mercado,market,1767
cerdo,pig,1768
tardes,afternoons,1769
líder,Leader,1770
grave,serious,1771
llegué,I arrived,1772
jurado,jury,1773
casos,Cases,1774
acuerdas,Remember,1775
ahi,there,1776
desaparecido,missing,1777
debió,he owned,1778
hubieras,You would have,1779
últimamente,lately,1780
piedra,stone,1781
éramos,We were,1782
habló,speak,1783
charles,Charles.,1784
paga,pay,1785
secretos,secrets,1786
digamos,Let's say,1787
intención,intention,1788
humor,humor,1789
dura,hard,1790
dará,give to,1791
seguros,Insurance,1792
leo,Leo.,1793
adam,Adam.,1794
and,and.,1795
ángeles,Angels,1796
querría,I would want,1797
cerrar,close,1798
conseguido,achievement,1799
peso,weight,1800
víctimas,victims.,1801
asesinado,murdered,1802
humana,Humana,1803
directo,direct,1804
central,central,1805
termina,ends,1806
compañeros,companions,1807
escuchado,listened,1808
contento,happy,1809
llevan,They carry,1810
podré,I will be able,1811
oscuridad,darkness,1812
actuar,Act,1813
siga,follow-up,1814
llevado,led,1815
comenzó,started,1816
regresa,came back,1817
privado,private,1818
mirada,look,1819
demonio,Devil,1820
abierta,open,1821
kevin,Kevin,1822
m,M.,1823
llámame,call me,1824
siguen,Follow,1825
romper,to break,1826
cambia,change,1827
fiscal,fiscal,1828
jardín,garden,1829
natural,natural,1830
gratis,free,1831
cuesta,cost,1832
amenaza,threat,1833
pon,put,1834
marca,brand,1835
comenzar,begin,1836
ponte,put,1837
medicina,medicine,1838
podremos,we will can,1839
tomé,take,1840
preciosa,lovely,1841
sexual,sexual,1842
acceso,access,1843
necesidad,need,1844
dueño,owner,1845
merece,Deserve,1846
rayos,Ray,1847
d,D.,1848
mintiendo,lying,1849
tantas,many,1850
imagino,I imagine,1851
fantasma,ghost,1852
creerlo,Believe it,1853
llamé,I called,1854
ponga,Put.,1855
brian,Brian.,1856
dé,from,1857
pollo,chicken,1858
varios,various,1859
efecto,effect,1860
felicidad,happiness,1861
espada,sword,1862
relaciones,relations,1863
entró,I enter,1864
resultado,result,1865
sombrero,hat,1866
menor,less,1867
recibido,received,1868
negra,black,1869
to,to.,1870
habido,Having,1871
limpio,cleansed,1872
china,China,1873
juegos,games,1874
correo,mail,1875
confía,Reliable,1876
video,video,1877
perfectamente,perfectly,1878
harán,They will do,1879
teatro,theater,1880
dormido,asleep,1881
local,local,1882
quedado,left,1883
lástima,pity,1884
calles,Streets,1885
créeme,trust me,1886
responsabilidad,responsibility,1887
búsqueda,search,1888
dedo,finger,1889
tonta,dumb,1890
recuerdos,memories,1891
razones,reasons,1892
escuchando,listening,1893
eric,Eric.,1894
elegir,to choose,1895
amas,amas.,1896
huele,smells,1897
almuerzo,lunch,1898
cien,hundred,1899
adn,DNA,1900
tantos,ways,1901
pago,payment,1902
normalmente,usually,1903
mr,Mr.,1904
pastel,pie,1905
bastardo,bastard,1906
cinta,headband,1907
pasé,happens,1908
dígame,tell me,1909
anna,Anna.,1910
costa,coast,1911
levántate,Get up,1912
llamando,calling,1913
cerrado,closed,1914
interés,interest,1915
enfermera,nurse,1916
comienzo,Start,1917
olvidé,forgot,1918
fuese,Fue,1919
militar,military,1920
polvo,dust,1921
bella,pretty,1922
quedo,I remain,1923
kate,Kate.,1924
encontraste,by contrast,1925
voluntad,Will,1926
varias,several,1927
teoría,theory,1928
roja,Redo.,1929
cuento,tale,1930
escenario,stage,1931
diario,daily,1932
propiedad,property,1933
agujero,hole,1934
aspecto,appearance,1935
campamento,camp,1936
descansar,to rest,1937
matarme,Match,1938
metido,tuckedo.,1939
quiso,quoe.,1940
ángel,Angel,1941
enviar,Send,1942
impresionante,Awesome,1943
proceso,process,1944
intentado,tried.,1945
mio,Own,1946
fuente,source,1947
alcalde,Mayor,1948
ocurrido,occurred,1949
malos,badly,1950
carretera,highway,1951
desapareció,He disappeared,1952
desayuno,breakfast,1953
débil,weak,1954
roma,Rome,1955
sabido,well-known,1956
comienza,starts,1957
tambien,also,1958
intentarlo,Try at it,1959
miembro,member,1960
perdiendo,losing,1961
hayan,Hayan,1962
fueras,Four.,1963
resultados,results,1964
jerry,Jerry.,1965
mata,Bush,1966
sr,Mr,1967
valiente,brave,1968
deber,have to,1969
pecho,chest,1970
gustó,taste,1971
oyes,hear,1972
thomas,Thomas.,1973
periódico,Newspaper,1974
mami,Mommy,1975
piensan,Think,1976
washington,Washington,1977
tv,TV,1978
cansada,tired,1979
limpiar,clean up,1980
crear,create,1981
explicar,explain,1982
robado,Stolen,1983
resolver,sort out,1984
maté,mate,1985
guapo,Handsome,1986
continuar,continue,1987
sheriff,Sheriff,1988
funcionar,function,1989
extra,extra,1990
primo,cousin,1991
manejar,handle,1992
primeros,First,1993
acto,act,1994
poniendo,putting up,1995
números,numbers,1996
kilómetros,kilometres,1997
andy,Andy.,1998
llevará,carry,1999
rachel,Rachel.,2000
niñas,Girls,2001
premio,prize,2002
internet,Internet,2003
harías,Would you do?,2004
inútil,Useless,2005
domingo,Sunday,2006
tomas,Tomas.,2007
sensación,sensation,2008
alcohol,alcohol,2009
tercera,third,2010
agentes,agents,2011
disculpas,apologies,2012
antiguo,ancient,2013
guapa,beautiful,2014
asustado,afraid,2015
puedan,can,2016
sexy,sexy,2017
genio,genius,2018
recuperar,get it back,2019
creemos,We believe,2020
lengua,tongue,2021
ladrón,thief,2022
intenté,I tried,2023
examen,exam,2024
deprisa,depreciation,2025
montaña,Mountain,2026
durmiendo,sleeping,2027
disparar,shoot,2028
entrenador,coach,2029
queso,cheese,2030
entero,whole,2031
papeles,papers,2032
pones,Pones,2033
modelo,model,2034
fútbol,soccer,2035
detener,stop,2036
lados,sides,2037
miembros,members,2038
sábado,Saturday,2039
pongo,I put,2040
mataron,killed,2041
vuelvas,Vuelve,2042
talento,talent,2043
descubrir,to find out,2044
gordo,fat,2045
tribunal,court,2046
toque,I touched,2047
wow,Wow.,2048
hables,talks about,2049
conocemos,We know,2050
haberme,have,2051
dispuesto,ready,2052
tamaño,size,2053
dejen,Leave,2054
maravillosa,wonderful,2055
invitado,invited,2056
importantes,important,2057
derechos,Rights,2058
scott,Scott.,2059
declaración,statement,2060
claramente,clearly,2061
pacientes,patients,2062
pérdida,lost,2063
in,IN.,2064
iban,were going,2065
pudiste,You could,2066
profundo,deep,2067
gas,gas,2068
aeropuerto,airport,2069
consigue,get,2070
olvidar,to forget,2071
gloria,glory,2072
olvides,forget about,2073
volviendo,getting back,2074
coge,coge.,2075
fué,was,2076
llamaba,He called,2077
pete,Pete.,2078
tendrán,They will have,2079
instituto,Institute,2080
disparo,Shooting,2081
encuentras,You find,2082
querían,They wanted,2083
hablemos,let's talk,2084
dia,day,2085
enviado,sent,2086
pertenece,belong,2087
sienta,Sit.,2088
pensó,thought,2089
cadáver,corpse,2090
gracia,funny,2091
doctora,doctor,2092
escuchen,listen,2093
amante,lover,2094
temporada,season,2095
kim,Kim,2096
cuerpos,bodies,2097
amigas,friends,2098
larry,Larry.,2099
preguntaba,I asked,2100
francés,French,2101
mataste,Mataste,2102
techo,ceiling,2103
íbamos,we were going,2104
protección,protection,2105
médicos,doctors.,2106
lisa,Lisa.,2107
venganza,revenge,2108
pensamos,We think,2109
walter,Walter.,2110
contó,counted,2111
discutir,argue,2112
comprendo,understand,2113
idiotas,idiots,2114
enemigos,enemies,2115
camisa,shirt,2116
superior,higher,2117
criminal,criminal,2118
preocupada,worriedly,2119
bote,boat,2120
escribió,wrote,2121
llevamos,we carry,2122
testigos,witnesses,2123
recoger,pick up,2124
emily,Emily.,2125
truco,trick,2126
jason,Jason,2127
original,original,2128
pide,requests,2129
jeff,Jeff,2130
rosa,pink,2131
mama,mom,2132
negros,blacks.,2133
sobrevivir,survive,2134
rostro,face,2135
crédito,credit,2136
compartir,to share,2137
saca,pulls out,2138
irás,you will go,2139
pequeñas,little,2140
veía,I saw,2141
empezando,starting,2142
registro,record,2143
continúa,keep going,2144
grandioso,great,2145
viniste,did you come,2146
esquina,corner,2147
contado,counted,2148
tengamos,let's have,2149
cientos,hundreds,2150
tormenta,storm,2151
relájate,just relax,2152
siéntese,sit down,2153
chocolate,chocolate,2154
matt,Matt.,2155
pedazo,piece,2156
tomo,I take,2157
olor,odor,2158
ciencia,science,2159
kelly,Kelly.,2160
conexión,Connection,2161
vieron,They saw,2162
salón,living room,2163
sucio,dirty,2164
firma,firm,2165
vimos,we saw,2166
pidiendo,asking,2167
casarse,get marry,2168
bebida,drink,2169
tercer,third,2170
propios,Own,2171
fuertes,powerful,2172
lluvia,rain,2173
recién,newly,2174
tomaré,I will take,2175
complicado,complicated,2176
europa,Europe,2177
toques,touches.,2178
cámaras,Cameras,2179
visión,vision,2180
llego,arrive,2181
americano,American,2182
diversión,fun,2183
pareció,it seemed,2184
libras,pounds,2185
curso,course,2186
disco,disk,2187
probable,probable,2188
precioso,beautiful,2189
tenia,I had,2190
lago,lake,2191
leído,read,2192
consiguió,got,2193
parecido,similar,2194
material,material,2195
discurso,speech,2196
entera,entire,2197
it,Item,2198
corta,short,2199
completa,complete,2200
decirles,Tell them,2201
lunes,Monday,2202
efectivo,cash,2203
cura,cure,2204
antigua,ancient,2205
hablan,They speak,2206
juntas,Together,2207
william,William,2208
cáncer,Cancer,2209
funeral,funeral,2210
jodido,fucking,2211
dave,Dave,2212
artista,artist,2213
favorito,favorite,2214
guste,Like,2215
cae,falls off,2216
termine,I finished,2217
entrevista,interview,2218
sir,sir,2219
pintura,painting,2220
quieto,still,2221
falso,fake,2222
india,India,2223
corto,short,2224
inteligencia,intelligence,2225
destruir,destroy,2226
cargos,Charges,2227
podías,You could,2228
mentiras,lies,2229
señoras,ladies,2230
helado,ice cream,2231
felicidades,congratulations,2232
camioneta,Van,2233
mueve,Move,2234
aparte,Besides,2235
rock,rock,2236
tumba,grave,2237
seguimos,We continue,2238
hablaba,she spoke,2239
verle,to see,2240
mapa,Map,2241
tarea,homework,2242
cambió,change,2243
móvil,mobile,2244
equivocada,wrong,2245
responder,reply,2246
vacío,empty,2247
felicitaciones,Congratulations,2248
computadora,computer,2249
estudiante,student,2250
muriendo,dying,2251
construir,build up,2252
conocen,Know,2253
clara,clear,2254
solución,solution,2255
mundial,world,2256
plato,dish,2257
famoso,famous,2258
des,Des.,2259
dirá,will tell,2260
ambas,both,2261
tecnología,technology,2262
notas,grades,2263
malditos,damn,2264
cabrón,dumbass,2265
condiciones,terms,2266
dudo,I doubt,2267
robó,theft,2268
escucho,I'm listening,2269
laura,Laura,2270
rápidamente,quickly,2271
bordo,board,2272
nieve,snow,2273
mensajes,posts,2274
fecha,date,2275
violencia,violence,2276
n,N.,2277
sujeto,subject,2278
acciones,Actions,2279
fría,cold,2280
droga,drug,2281
saldrá,will come out,2282
suponía,Supposed,2283
empezamos,We started,2284
errores,mistakes,2285
grace,Grace.,2286
siglo,century,2287
molesto,upset,2288
acabamos,we finish,2289
sabéis,You know,2290
cortar,cut,2291
seria,would be,2292
muevas,Move,2293
fortuna,fortune,2294
of,of,2295
imaginar,To imagine,2296
archivos,records,2297
presencia,presence,2298
familias,Families,2299
ey,Ey,2300
quedas,stays,2301
solas,Solo.,2302
oficiales,officers,2303
aventura,adventure,2304
gira,tour,2305
social,Social,2306
comunidad,community,2307
annie,Annie.,2308
alan,Alan,2309
cero,zero,2310
clark,Clark,2311
esperamos,we wait,2312
ocupada,busy,2313
muévete,move on,2314
convertido,converted,2315
carl,Carl.,2316
pieza,part,2317
estómago,stomach,2318
disparó,Shooting,2319
legal,legal,2320
conseguí,I got,2321
emma,Emma,2322
carter,sump,2323
california,California,2324
rara,strange,2325
estudiantes,students,2326
reino,kingdom,2327
alegría,joy,2328
barrio,neighborhood,2329
granja,farm,2330
podéis,you can,2331
esfuerzo,effort,2332
trabajaba,I worked,2333
claire,Claire.,2334
perdóname,excuse me,2335
tesoro,treasure,2336
empleo,job,2337
compré,I bought,2338
cirugía,surgery,2339
dejamos,We leave,2340
busco,look for,2341
trabajas,you work,2342
clave,key,2343
aparentemente,apparently,2344
bravo,Bravo,2345
ed,ED.,2346
desearía,I would like,2347
cerrada,closed,2348
new,New.,2349
chicago,Chicago.,2350
controlar,control,2351
pregunté,I asked for,2352
mostrar,show,2353
piloto,pilot,2354
pocas,a few,2355
tuvieron,They had,2356
ayudarle,Help him.,2357
bolso,bag,2358
llorando,in tears,2359
kyle,Kyle,2360
duerme,sleep,2361
dejarme,leave me,2362
intentó,try,2363
respirar,breathe,2364
aparece,appear,2365
campaña,Bell,2366
amistad,friendship,2367
corriente,stream,2368
viven,they live,2369
huesos,bones,2370
invitados,Guests,2371
planta,plant,2372
ritmo,rhythm,2373
respuestas,answers,2374
socio,partner,2375
esperas,Expends,2376
caído,fallen,2377
motor,motor,2378
mono,bun,2379
llevaron,They took,2380
página,page,2381
poquito,a little,2382
u,or,2383
habíamos,We had,2384
encontraremos,We will find,2385
ruego,I beg,2386
dejan,leave,2387
aburrido,bored,2388
paquete,package,2389
casada,married,2390
llevarte,take away,2391
ted,Ted.,2392
combate,combat,2393
útil,Useful,2394
castillo,Castle,2395
bola,ball,2396
canciones,songs,2397
mataré,Mataré.,2398
muchísimo,very much,2399
asistente,assistant,2400
llegaron,They arrived,2401
correcta,Right,2402
pondré,I will put,2403
simon,Simon,2404
comido,Eaten,2405
salgan,leave,2406
empecé,I started,2407
tirar,throw,2408
pasan,pass,2409
cierta,certain,2410
honesto,honest,2411
carro,car,2412
limpia,clean,2413
volví,I returned,2414
confío,trust,2415
venta,sale,2416
huir,flee,2417
apareció,showed up,2418
vais,vais,2419
compromiso,commitment,2420
gustas,Likes.,2421
aseguro,I assure you.,2422
ira,go to,2423
promesa,promise,2424
decírselo,Tell him,2425
cuáles,which,2426
compras,shopping,2427
importancia,importance,2428
lección,lesson,2429
hablaré,I'll talk,2430
hacerse,to be made,2431
personalmente,personally,2432
roger,Roger,2433
luke,Luke,2434
bolsillo,pocket,2435
enojado,angry,2436
desgracia,misfortune,2437
artículo,Article,2438
labios,lips,2439
cola,line,2440
estemos,These,2441
whisky,whiskey,2442
taza,Bowl,2443
despues,then,2444
gary,Gary,2445
preguntarte,ask you,2446
pelota,ball,2447
caminando,walking,2448
andar,walk,2449
crea,creates,2450
chaqueta,jacket,2451
importaría,mind to,2452
den,Den.,2453
llegará,reach,2454
interesado,interested,2455
atrapado,caught,2456
supiera,Supierate,2457
matarlo,kill him.,2458
árboles,trees,2459
obvio,obvious,2460
amaba,Amaba,2461
hablaremos,we will talk,2462
entrenamiento,training,2463
pescado,fish,2464
últimas,latter,2465
pobres,poor,2466
dioses,gods,2467
nerviosa,nervous,2468
vueltas,Returns,2469
encontrarlo,find him,2470
autos,cars,2471
alice,Alice.,2472
preguntarle,ask him,2473
lucy,Lucy.,2474
abrigo,coat,2475
okay,OK,2476
estudiar,study,2477
b,B.,2478
sonrisa,smile,2479
cobarde,Coward,2480
olvida,forget about,2481
secundaria,secondary,2482
descubierto,discovered,2483
convirtió,He became,2484
coches,cars.,2485
venía,came,2486
josh,Josh,2487
charla,chat,2488
vives,do you live,2489
bruja,witch,2490
c,C.,2491
celular,cell phone,2492
rose,Rose.,2493
rompió,broke,2494
andando,walking,2495
vean,See.,2496
conseguiste,obtained.,2497
susan,Susan,2498
veinte,twenty,2499
encargo,charge,2500
matarte,Match,2501
palacio,palace,2502
convierte,Convert,2503
ja,JA.,2504
vivos,Live,2505
pasamos,we passed,2506
firme,firm,2507
daría,would give,2508
piense,Think,2509
oigo,I heard,2510
phil,Phil.,2511
sorprende,surprise,2512
alemanes,Germans,2513
milagro,miracle,2514
soportar,bear,2515
dejaron,They left,2516
smith,Smith,2517
disculpen,excuse me,2518
moda,fashion,2519
despacho,office,2520
vecinos,neighbors,2521
vaso,glass,2522
dejarte,Leave yourself,2523
explosión,explosion,2524
poderes,Powers,2525
regla,ruler,2526
acaban,they finished,2527
copia,copy,2528
siguiendo,Following,2529
viajar,travel,2530
cadena,chain,2531
fábrica,factory,2532
mantiene,maintains,2533
meter,to put,2534
contenta,Contenta.,2535
comiendo,eating,2536
educación,education,2537
maneras,ways,2538
fumar,to smoke,2539
encantador,charming,2540
cuantos,many,2541
homicidio,homicide,2542
madera,wood,2543
mayores,greater,2544
grado,degree,2545
tratamiento,treatment,2546
blancos,White,2547
lord,lord,2548
anterior,previous,2549
comisario,commissar,2550
pizza,Pizza,2551
millas,miles,2552
tira,strip,2553
fueran,Fueran,2554
cumplir,comply,2555
plata,silver,2556
quedará,will remain,2557
quedaré,I will stay,2558
aléjate,get away,2559
decidir,to decide,2560
lío,mess,2561
preguntó,I ask,2562
agencia,agency,2563
humanidad,humanity,2564
usado,used,2565
guardias,Guardians,2566
parada,stop,2567
leyes,Laws,2568
funcionó,it worked,2569
odia,hate,2570
levanta,Raise,2571
mires,Looks,2572
respira,breathe,2573
escaleras,ladders,2574
decisiones,decisions,2575
queréis,You want,2576
salvaje,wild,2577
preguntando,asking,2578
pasos,Steps,2579
ambulancia,ambulance,2580
traducción,translation,2581
trabajado,worked up,2582
básicamente,basically,2583
tratado,treaty,2584
parado,stopped,2585
especiales,Specials,2586
mentiroso,liar,2587
libres,Free,2588
servicios,services,2589
pedirle,Ask for him,2590
vivía,she lived,2591
medios,media,2592
compra,buys,2593
conocimiento,knowledge,2594
armario,closet,2595
lobo,Wolf,2596
quedamos,We are left,2597
ciertamente,certainly,2598
permitir,allow,2599
tráfico,traffic,2600
uniforme,uniform,2601
estuvimos,We were there,2602
alemania,Germany,2603
suave,gentle,2604
propias,own,2605
balas,bullets,2606
asqueroso,disgusting,2607
ciento,hundred,2608
invierno,winter,2609
consigo,with him,2610
encuentre,Find,2611
jenny,Jenny.,2612
conductor,driver,2613
equipos,equipment,2614
arena,sand,2615
park,Park,2616
licencia,license,2617
tíos,uncles,2618
jackson,Jackson.,2619
dijera,I said,2620
espejo,mirror,2621
marina,Marine,2622
matando,killing,2623
seres,Beings,2624
fiestas,parties,2625
mover,move,2626
coincidencia,coincidence,2627
análisis,analysis,2628
llegando,arriving,2629
azúcar,sugar,2630
tim,Tim.,2631
casar,marry,2632
sótano,basement,2633
volvamos,let's go back,2634
sabrá,will know,2635
taylor,Taylor,2636
ocasión,chance,2637
cheque,check,2638
revisar,check,2639
ponerme,put myself,2640
suceder,happen,2641
acusado,accused,2642
dímelo,tell me,2643
quedé,I was left,2644
conciencia,conscience,2645
doc,Doc,2646
pesadilla,nightmare,2647
sopa,Soup,2648
saltar,skip,2649
heridas,wounded,2650
pienses,Think about,2651
suicidio,suicide,2652
llamarme,call me,2653
posibilidades,possibilities,2654
elegido,chosen one,2655
divorcio,divorce,2656
registros,records,2657
recibí,I received,2658
joey,Joey,2659
escuchas,Listen,2660
mirad,Behold,2661
pierde,misses,2662
abogados,Lawyers,2663
trataba,I was trying,2664
americanos,American people,2665
llevando,wearing,2666
miel,honey,2667
regrese,I am back,2668
dilo,say it,2669
hermanas,Sisters,2670
alemán,German,2671
iría,would go,2672
lady,Lady.,2673
salí,I left,2674
particular,particular,2675
miras,Look at ...,2676
frontera,border,2677
ventaja,advantage,2678
alerta,alert,2679
piscina,swimming pool,2680
regalos,gifts,2681
comportamiento,behavior,2682
julia,Julia,2683
señales,signs,2684
salimos,we went out,2685
revista,magazine,2686
hecha,Miscellaneous,2687
imágenes,images,2688
llegas,you arrive,2689
rápida,fast,2690
canal,channel,2691
paciencia,patience,2692
sacado,taken out,2693
echo,threw out,2694
crisis,crisis,2695
asesinos,Assassins,2696
oíste,did you hear,2697
dejando,leaving,2698
estarías,You would be,2699
anteriormente,previously,2700
vigilancia,surveillance,2701
desierto,desert,2702
asustada,scared,2703
cuerda,string,2704
míos,mine,2705
chuck,Chuck.,2706
seguido,Following,2707
seremos,We will be left,2708
morgan,Morgan.,2709
pene,penis,2710
despierto,awake,2711
gobernador,governor,2712
sección,section,2713
casarme,marry,2714
trabajos,jobs,2715
karen,Karen,2716
preparados,prepared.,2717
murieron,They died,2718
oso,bear,2719
curiosidad,curiosity,2720
vd.,you.,2721
hank,Hank.,2722
impresión,Print,2723
pez,fish,2724
pasaba,I passed,2725
escuchaste,you listened,2726
torre,tower,2727
sientas,feels,2728
mentir,to lie,2729
pasillo,aisle,2730
juega,play,2731
suéltame,Let go,2732
arresto,arrest,2733
ricos,rich,2734
sencillo,easy,2735
ruta,route,2736
documentos,Documents,2737
enamorada,in love,2738
apuesta,bet,2739
perdida,lost,2740
vinieron,came,2741
ayudarnos,help us,2742
presento,presented,2743
hazme,doze,2744
leí,I read,2745
arthur,Arthur.,2746
virus,virus,2747
lárgate,Look at ...,2748
sigan,follow-up,2749
compró,I buy,2750
servir,to serve,2751
pongas,put.,2752
alarma,alarm,2753
identidad,identity,2754
iguales,equal,2755
aviso,warning,2756
aprendido,learned,2757
caza,hunting,2758
daba,Daba,2759
muchacha,girl,2760
permanecer,stay,2761
bebés,babies,2762
opciones,options,2763
responde,answer back,2764
vernos,see us,2765
julie,Julie.,2766
llamaste,called,2767
ponerse,to put on,2768
sacó,coat,2769
orgullo,pride,2770
reales,reais.,2771
esperan,are waiting,2772
vuelves,Vuelves,2773
maggie,Maggie.,2774
serlo,serlo,2775
cuantas,how many,2776
enfadado,angry,2777
ponen,Put,2778
altura,height,2779
jones,Jones,2780
archivo,archive,2781
fred,Fred.,2782
ayudará,help to,2783
fácilmente,easily,2784
criatura,creature,2785
saco,coat,2786
precisamente,precisely,2787
máximo,maximum,2788
viniendo,coming,2789
vendría,I would come,2790
louis,Louis.,2791
ilegal,illegal,2792
refiere,refers,2793
llamamos,We call,2794
versión,version,2795
incendio,fire,2796
preferiría,I'd prefer,2797
gritar,shout out,2798
recibió,He received,2799
concierto,concert,2800
casualidad,chance,2801
excusa,excuse,2802
rodillas,knees,2803
cruz,cross,2804
dulces,sweets,2805
zorra,fox,2806
cómodo,comfortable,2807
cruel,cruel,2808
sofá,sofa,2809
perdiste,you lost,2810
encantadora,lovely,2811
salgamos,let's go out,2812
sombra,shade,2813
ganó,won,2814
encantada,nice to meet you,2815
firmar,sign,2816
escritorio,desk,2817
muñeca,wrist,2818
rastro,trail,2819
gigante,giant,2820
pájaro,bird,2821
ducha,shower,2822
tomamos,we take,2823
déjenme,leave me,2824
condición,condition,2825
recompensa,reward,2826
doce,twelve,2827
actor,actor,2828
actitud,attitude,2829
cuida,takes care,2830
salsa,sauce,2831
hubieran,They would have,2832
carlos,Charles,2833
personaje,character,2834
dudas,Doubts,2835
jackie,Jackie.,2836
cambios,changes,2837
votos,votes,2838
vivido,vivid,2839
perdimos,We lost,2840
suficientes,sufficient,2841
entrega,delivery,2842
comercial,commercial,2843
decidí,I decided,2844
tribu,tribe,2845
pura,pure,2846
volveremos,we will be back,2847
voto,vote,2848
méxico,Mexico,2849
amar,to love,2850
poderoso,powerful,2851
traigo,traigo.,2852
asesinatos,murders,2853
fresco,cool,2854
privada,private,2855
seamos,Seamo,2856
guarda,guard,2857
orgullosa,proud,2858
vivimos,We live,2859
difíciles,difficulty,2860
hagámoslo,Let's do it,2861
jefa,boss,2862
trató,treatment,2863
senador,senator,2864
ayudando,Helping,2865
campeón,champion,2866
